Country_name,3_letter_code,population,area_sq_km,population_density,population_urban,gdp_per_capita_usd,GDP_2022,date,Total_confirmed_cases,Total_new_deceased,Total_new_vaccinations,New_persons_fully_vaccinated,Investment_in_vaccines,Total_tested,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-09,199,2,1166,2135,0,2923,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-10,363,4,2190,2358,0,5381,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-11,373,2,3738,2698,0,4710,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-12,303,5,5995,4556,0,4328,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-13,285,3,5812,7575,0,5094,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-14,283,2,6116,3333,0,5045,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-15,134,1,3132,576,0,3400,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-16,153,6,932,169,0,2874,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-17,298,3,5887,2026,0,5895,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-18,257,3,5855,2986,0,4785,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-19,242,4,5221,4943,0,4489,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-20,229,1,5318,10770,0,4709,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-21,181,0,6614,9238,0,4707,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-22,103,1,4099,1582,0,3488,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-23,77,0,3332,882,0,2611,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-24,164,1,4381,2325,0,4911,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-25,186,2,4979,2828,0,4213,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-26,147,3,5784,6620,0,3910,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-27,141,3,5731,11544,0,4079,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-28,128,1,4728,9690,0,4024,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-29,66,1,3834,2492,0,3209,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-30,60,6,3531,1604,0,2901,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-31,133,1,2301,1993,0,4386,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-01,131,1,5745,4335,0,6175,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-02,107,0,5757,6015,0,3970,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-03,101,2,6114,8634,0,4257,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-04,63,1,5018,7466,0,3971,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-05,52,1,3454,3239,0,2815,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-06,39,0,1617,3720,0,2601,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-07,85,1,2977,3956,0,4083,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-08,69,1,4220,6051,0,3941,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-09,54,0,4340,9705,0,3491,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-10,54,0,4323,11102,0,3681,1,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-11,53,0,3418,8922,0,3838,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-12,38,0,2201,4763,0,2751,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-13,28,0,1689,3075,0,2420,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-14,62,0,3154,5190,0,4741,1,2,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-15,60,1,3443,7469,0,4149,1,1,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-16,41,0,2916,10701,0,4218,1,1,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-17,56,0,2907,11553,0,3832,1,1,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-18,35,1,4480,11299,0,3921,1,1,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-19,26,0,1620,4851,0,2911,1,1,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-20,12,1,1773,2653,0,2166,1,1,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-21,37,0,2891,6479,0,3584,1,1,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-22,26,0,1821,4352,0,3009,1,1,1,2
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-23,20,0,3,121,0,1922,1,1,1,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-24,12,0,36,155,0,1967,1,1,1,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-25,34,0,2009,6002,0,3495,1,1,1,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-26,27,0,1148,3654,0,2507,1,1,1,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-27,15,0,1223,3548,0,2179,1,1,1,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-28,47,0,1920,6064,0,3777,1,1,1,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-29,37,0,2177,6559,0,3116,1,1,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-06-30,21,0,2428,6975,0,2845,1,1,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-01,39,0,2390,5456,0,2977,1,1,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-02,39,0,2344,5710,0,2950,1,1,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-03,27,1,1340,4204,0,2117,1,1,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-04,20,0,1351,4808,0,1705,1,1,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-05,50,0,2528,2701,0,2889,1,1,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-06,42,0,2567,6317,0,2646,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-07,58,0,2503,4718,0,2592,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-08,39,0,2653,6025,0,3362,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-09,64,0,2871,4563,0,4127,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-10,27,0,1554,2168,0,2764,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-11,22,0,1568,3362,0,2353,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-12,57,0,1841,3152,0,3502,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-13,56,1,2442,4939,0,3007,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-14,64,0,2258,5425,0,2752,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-15,62,0,2975,5677,0,3665,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-16,64,0,1995,3799,0,3079,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-17,41,0,1269,1141,0,3521,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-18,35,0,3045,2239,0,2085,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-19,81,0,3110,3818,0,3118,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-20,97,0,3300,5801,0,2761,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-21,121,0,3052,4587,0,2693,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-22,84,0,3775,5321,0,2840,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-23,106,0,4177,4340,0,3082,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-24,91,0,2347,1787,0,2076,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-25,67,0,2259,1793,0,1926,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-26,192,0,3224,3340,0,3242,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-27,173,1,2655,4179,0,3171,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-28,220,0,3066,3312,0,3116,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-29,181,0,3403,2557,0,3263,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-30,249,0,3219,2596,0,3547,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-07-31,127,0,2053,1591,0,2246,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-01,87,0,1978,1487,0,1941,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-02,221,1,3828,2902,0,3914,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-03,232,3,4292,2926,0,3624,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-04,258,0,4713,3094,0,3460,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-05,242,1,3940,2643,0,3852,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-06,242,0,4956,3203,0,8789,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-07,126,0,2626,1714,0,2881,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-08,146,0,1716,850,0,2796,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-09,290,2,3886,2948,0,7760,1,0,0,1
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-08-10,343,0,4213,3281,0,6729,1,0,0,1
